"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2026-02-25,2026-03-26,"Instagram Post",not_delivering,7,actions:link_click,0.31428571,"Using campaign budget",0,2.2,228,224,2026-03-05,2026-03-04,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-04T19:52:10-0300
2026-02-25,2026-03-26,"Instagram Post",archived,1,actions:link_click,2.69,"Using campaign budget",0,2.69,128,103,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2026-02-25,2026-03-26,"Instagram Post",inactive,14,actions:link_click,0.39357143,"Using campaign budget",0,5.51,573,515,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T13:28:19-0300
2026-02-25,2026-03-26,"Instagram Post",not_delivering,2,actions:link_click,0.27,"Using campaign budget",0,0.54,63,62,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T11:45:15-0300
2026-02-25,2026-03-26,Manual_Traffic_Ad_Set_1,inactive,16,actions:omni_landing_page_view,1.98125,100,Daily,31.7,3473,3333,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T18:55:09-0300
2026-02-25,2026-03-26,Manual_Traffic_Ad_Set_2,inactive,50,actions:omni_landing_page_view,0.7444,175,Daily,37.22,3734,3734,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:09:37-0300
2026-02-25,2026-03-26,"Instagram Post",not_delivering,1,actions:link_click,0.01,"Using campaign budget",0,0.01,20,20,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T15:25:29-0300
2026-02-25,2026-03-26,Manual_Traffic_Ad_Set_3,inactive,21,actions:omni_landing_page_view,2.06571429,100,Daily,43.38,4892,4810,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T15:56:23-0300
2026-02-25,2026-03-26,Manual_Traffic_Ad_Set_4,inactive,37,actions:omni_landing_page_view,1.16864865,175,Daily,43.24,3492,3347,Ongoing,2026-03-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-05T16:34:48-0300
2026-02-25,2026-03-26,Manual_Traffic_Ad_Set_5,completed,280,actions:omni_landing_page_view,0.40864286,65,Daily,114.42,25002,19653,2026-03-08,2026-03-06,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T14:04:46-0300
2026-02-25,2026-03-26,"Manual_Traffic_Ad_Set_5 - Copy",completed,323,actions:omni_landing_page_view,0.32888545,130,Daily,106.23,17735,15403,2026-03-08,2026-03-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-03-08T19:46:17-0300
